Name,Gender,Year,Count
Emily,F,1999,26539
Nicholas,M,1999,25639
Christopher,M,1999,25604
Andrew,M,1999,23863
Joseph,M,1999,23216
Daniel,M,1999,22702
Jacob,M,2000,34490
Michael,M,2000,32042
Matthew,M,2000,28576
Joshua,M,2000,27538
Emily,F,2000,25957
Christopher,M,2000,24936
Nicholas,M,2000,24653
Andrew,M,2000,23654
Hannah,F,2000,23085
Joseph,M,2000,22842
Jacob,M,2001,32570
Michael,M,2001,29688
Matthew,M,2001,26813
Joshua,M,2001,26023
Emily,F,2001,25059
Christopher,M,2001,23131
Nicholas,M,2001,22847
Andrew,M,2001,22421
Madison,F,2001,22166
Joseph,M,2001,22025
Jacob,M,2002,30583
Michael,M,2002,28256
Joshua,M,2002,25997
Matthew,M,2002,25154
Emily,F,2002,24468
Ethan,M,2002,22112
Andrew,M,2002,22030
Joseph,M,2002,21913
Madison,F,2002,21773
Christopher,M,2002,21687
Jacob,M,2003,29650
Michael,M,2003,27126
Emily,F,2003,25691
Joshua,M,2003,25103
Matthew,M,2003,24009
Emma,F,2003,22714
Andrew,M,2003,22160
Joseph,M,2003,21382
Ethan,M,2003,21361
Daniel,M,2003,21063
Jacob,M,2004,27895
Michael,M,2004,25465
Emily,F,2004,25040
Joshua,M,2004,24210
Matthew,M,2004,22881
Ethan,M,2004,22208
Andrew,M,2004,21712
Emma,F,2004,21617
Daniel,M,2004,21000
Madison,F,2004,20628
Jacob,M,2005,25843
Emily,F,2005,23949
Michael,M,2005,23826
Joshua,M,2005,23259
Matthew,M,2005,21477
Ethan,M,2005,21317
Andrew,M,2005,20738
Emma,F,2005,20353
Daniel,M,2005,20227
Madison,F,2005,19577
Jacob,M,2006,24855
Michael,M,2006,22647
Joshua,M,2006,22332
Emily,F,2006,21410
Ethan,M,2006,20521
Matthew,M,2006,20335
Daniel,M,2006,20076
Andrew,M,2006,19730
Christopher,M,2006,19685
Anthony,M,2006,19411
Jacob,M,2007,24299
Michael,M,2007,22014
Ethan,M,2007,21034
Joshua,M,2007,20661
Daniel,M,2007,20258
Christopher,M,2007,20027
Anthony,M,2007,19633
Emily,F,2007,19359
Isabella,F,2007,19140
William,M,2007,18890
Jacob,M,2008,22611
Michael,M,2008,20642
Ethan,M,2008,20220
Joshua,M,2008,19219
Daniel,M,2008,19018
Emma,F,2008,18823
Alexander,M,2008,18707
Isabella,F,2008,18625
Anthony,M,2008,18409
William,M,2008,18398
Isabella,F,2009,22316
Jacob,M,2009,21196
Ethan,M,2009,19849
Michael,M,2009,18956
Alexander,M,2009,18247
William,M,2009,17925
Emma,F,2009,17908
Joshua,M,2009,17662
Daniel,M,2009,17557
Olivia,F,2009,17441
Isabella,F,2010,22929
Jacob,M,2010,22144
Sophia,F,2010,20652
Ethan,M,2010,18011
Michael,M,2010,17374
Emma,F,2010,17357
Jayden,M,2010,17192
William,M,2010,17064
Olivia,F,2010,17033
Alexander,M,2010,16761
Sophia,F,2011,21856
Jacob,M,2011,20389
Isabella,F,2011,19927
Mason,M,2011,19522
Emma,F,2011,18814
William,M,2011,17354
Olivia,F,2011,17331
Jayden,M,2011,17010
Noah,M,2011,16876
Michael,M,2011,16815
Sophia,F,2012,22325
Emma,F,2012,20964
Isabella,F,2012,19126
Jacob,M,2012,19094
Mason,M,2012,18987
Ethan,M,2012,17687
Noah,M,2012,17366
Olivia,F,2012,17328
William,M,2012,16904
Liam,M,2012,16816
Sophia,F,2013,21244
Emma,F,2013,20958
Olivia,F,2013,18446
Noah,M,2013,18276
Jacob,M,2013,18185
Liam,M,2013,18150
Mason,M,2013,17721
Isabella,F,2013,17663
William,M,2013,16654
Ethan,M,2013,16254
Emma,F,2014,20958
Olivia,F,2014,19829
Noah,M,2014,19329
Sophia,F,2014,18636
Liam,M,2014,18478
Mason,M,2014,17212
Isabella,F,2014,17125
Jacob,M,2014,16904
William,M,2014,16839
Ethan,M,2014,15737
Emma,F,2015,20478
Olivia,F,2015,19717
Noah,M,2015,19666
Liam,M,2015,18400
Sophia,F,2015,17445
Mason,M,2015,16657
Ava,F,2015,16399
Jacob,M,2015,15979
William,M,2015,15935
Isabella,F,2015,15646
Emma,F,2016,19536
Olivia,F,2016,19397
Noah,M,2016,19171
Liam,M,2016,18259
Ava,F,2016,16338
Sophia,F,2016,16171
William,M,2016,15798
Mason,M,2016,15282
James,M,2016,14905
Isabella,F,2016,14846
Emma,F,2017,19857
Liam,M,2017,18849
Olivia,F,2017,18763
Noah,M,2017,18473
Ava,F,2017,16005
Isabella,F,2017,15231
William,M,2017,15023
Sophia,F,2017,14925
James,M,2017,14346
Logan,M,2017,14042
Liam,M,2018,19957
Emma,F,2018,18801
Noah,M,2018,18403
Olivia,F,2018,18039
Ava,F,2018,15010
William,M,2018,14633
Isabella,F,2018,14548
Sophia,F,2018,13991
James,M,2018,13629
Oliver,M,2018,13487
Liam,M,2019,20601
Noah,M,2019,19145
Olivia,F,2019,18549
Emma,F,2019,17194
Ava,F,2019,14528
Oliver,M,2019,13953
Sophia,F,2019,13787
William,M,2019,13629
Elijah,M,2019,13393
Isabella,F,2019,13376
Liam,M,2020,19828
Noah,M,2020,18407
Olivia,F,2020,17664
Emma,F,2020,15680
Oliver,M,2020,14261
Ava,F,2020,13179
Elijah,M,2020,13172
Charlotte,F,2020,13083
Sophia,F,2020,13070
Amelia,F,2020,12780
Liam,M,2021,20365
Noah,M,2021,18849
Olivia,F,2021,17798
Emma,F,2021,15510
Oliver,M,2021,14683
Charlotte,F,2021,13336
Amelia,F,2021,13007
Ava,F,2021,12830
Elijah,M,2021,12774
Sophia,F,2021,12547
Liam,M,2022,20456
Noah,M,2022,18621
Olivia,F,2022,16573
Oliver,M,2022,15076
Emma,F,2022,14435
Charlotte,F,2022,12891
Amelia,F,2022,12333
Sophia,F,2022,12310
James,M,2022,12028
Elijah,M,2022,11979
